"시도(1)","시군구(1)",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"시도(1)","시군구(1)",계,계,전,전,답,답,과수원,과수원,목장용지,목장용지,임야,임야,광천지,광천지,염전,염전,대,대,공장용지,공장용지
"시도(1)","시군구(1)",면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수
"부산","중구",2825784.6,16651.0,2213.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,105904.0,48.0,0.0,0.0,0.0,0.0,1496145.4,12857.0,0.0,0.0
"부산","강서구",181495480.3,103789.0,8800356.5,10498.0,41327690.7,28562.0,65242.0,24.0,348959.0,261.0,40856468.3,4379.0,0.0,0.0,60691.0,32.0,12301547.8,23386.0,13710607.3,2343.0
"부산","서구",13956279.5,41264.0,414869.6,1230.0,44534.0,78.0,0.0,0.0,0.0,0.0,6738596.4,1139.0,0.0,0.0,0.0,0.0,3805448.7,30970.0,123673.3,39.0
"부산","동구",9864621.0,41330.0,51159.3,139.0,18870.0,34.0,0.0,0.0,0.0,0.0,2733061.0,731.0,0.0,0.0,0.0,0.0,3614795.7,31663.0,8783.9,3.0
"부산","영도구",14199799.5,37887.0,338669.2,1647.0,117002.9,359.0,0.0,0.0,0.0,0.0,3887814.0,1077.0,4.0,2.0,0.0,0.0,4126997.6,25935.0,757717.0,589.0
"부산","부산진구",29667536.8,66095.0,82822.2,620.0,219926.0,1040.0,0.0,0.0,0.0,0.0,9620769.6,1686.0,3.0,1.0,0.0,0.0,9208716.3,48988.0,3396.8,14.0
"부산","동래구",16631310.8,34984.0,176573.3,594.0,106008.9,461.0,0.0,0.0,0.0,0.0,4343039.4,991.0,206.0,33.0,0.0,0.0,7182999.1,24363.0,11206.9,12.0
"부산","남구",26819283.1,45682.0,261409.9,1691.0,110817.0,420.0,0.0,0.0,0.0,0.0,8323306.7,1881.0,0.0,0.0,0.0,0.0,8343769.0,30686.0,681104.1,167.0
"부산","북구",39369728.2,22673.0,203225.4,541.0,656389.1,1224.0,2622.0,1.0,0.0,0.0,21902904.9,1766.0,0.0,0.0,0.0,0.0,6415876.0,13128.0,9169.7,13.0
"부산","해운대구",51502752.1,40009.0,794978.7,1214.0,940302.5,2044.0,21155.0,4.0,593.0,1.0,27567837.7,2752.0,159.7,14.0,0.0,0.0,9804680.3,22701.0,360978.4,154.0
"부산","사하구",41770877.4,42891.0,1685622.6,1443.0,161522.0,407.0,0.0,0.0,836.0,1.0,13319609.3,2320.0,1.0,1.0,0.0,0.0,8277003.0,27240.0,4631053.8,2023.0
"부산","금정구",65262005.8,46087.0,968564.1,1805.0,3139898.3,4054.0,8261.0,3.0,1689.0,6.0,40682992.4,3007.0,0.0,0.0,0.0,0.0,7053993.3,25380.0,592235.3,374.0
"부산","연제구",12099534.7,26316.0,33262.3,224.0,25688.7,178.0,0.0,0.0,0.0,0.0,2929858.3,804.0,9.4,3.0,0.0,0.0,5615824.6,19318.0,12708.7,7.0
"부산","수영구",10212704.0,21303.0,17193.0,119.0,3820.0,38.0,0.0,0.0,0.0,0.0,2323902.0,495.0,0.0,0.0,0.0,0.0,5224359.6,16646.0,25699.6,14.0
"부산","사상구",36101153.0,26149.0,120657.0,615.0,404757.9,1075.0,0.0,0.0,0.0,0.0,12143425.0,1097.0,0.0,0.0,0.0,0.0,6661686.8,14034.0,3397728.7,3738.0
"부산","기장군",218295907.8,110670.0,6494286.3,11566.0,20184043.4,27356.0,2021638.0,931.0,1486679.0,245.0,144159045.0,17583.0,0.0,0.0,0.0,0.0,11737242.7,19872.0,5618934.7,1339.0
