,중분류 카테고리,소분류 카테고리,0
0,공연/행사,공연장,53
1,공연/행사,극장,44
2,기타관광지,공항,2
3,기타관광지,관광단지,1
4,기타관광지,관광명소기타,89
5,기타관광지,관광안내소,9
6,기타관광지,데이트코스,1
7,기타관광지,드라이브코스,2
8,기타관광지,수영장,43
9,기타관광지,운동장,115
10,기타관광지,전망대,39
11,기타관광지,정자,2
12,기타관광지,체험농가,10
13,기타관광지,촬영지,5
14,기타관광지,축제,73
15,기타관광지,카지노,2
16,기타관광지,특산물단지,1
17,레포츠(육상/해상/항공),경륜장,1
18,레포츠(육상/해상/항공),경마장,3
19,레포츠(육상/해상/항공),골프장,536
20,레포츠(육상/해상/항공),낚시,175
21,레포츠(육상/해상/항공),눈썰매장,3
22,레포츠(육상/해상/항공),레저/스포츠기타,911
23,레포츠(육상/해상/항공),사격장,4
24,레포츠(육상/해상/항공),수련장,13
25,레포츠(육상/해상/항공),수상해양스포츠,58
26,레포츠(육상/해상/항공),스케이트장,14
27,레포츠(육상/해상/항공),승마장,7
28,레포츠(육상/해상/항공),양궁/곡궁,5
29,레포츠(육상/해상/항공),여행/레저기타,67
30,문화시설,과학관,7
31,문화시설,문화생활시설기타,284
32,문화시설,문화원,22
33,문화시설,미술관,21
34,문화시설,박물관/기념관,50
35,문화시설,전시장,23
36,문화시설,화랑/전시관,70
37,쇼핑,농수축산물시장,405
38,쇼핑,면세점,4
39,쇼핑,살거리기타,11
40,쇼핑,쇼핑기타,7413
41,쇼핑,쇼핑센터,119
42,쇼핑,시장기타,42
43,쇼핑,재래시장,102
44,쇼핑,종합시장,50
45,숙박,모텔/여관,1191
46,숙박,민박,36
47,숙박,숙박기타,118
48,숙박,유스호스텔,2
49,숙박,캠프장,20
50,숙박,콘도/리조트,9
51,숙박,펜션,179
52,숙박,호텔,355
53,역사관광지,고택/생가/민속마을,3
54,역사관광지,기념비,6
55,역사관광지,능묘,2
56,역사관광지,문화유적지,50
57,역사관광지,성,1
58,역사관광지,절,652
59,역사관광지,탑,3
60,음식,먹거리기타,37
61,음식,부페,92
62,음식,분식,927
63,음식,세계요리,273
64,음식,음식점기타,3462
65,음식,음악카페,4
66,음식,이색카페,63
67,음식,일식,839
68,음식,전문음식점,5268
69,음식,전통찻집,34
70,음식,제과점,885
71,음식,중식,1012
72,음식,카페기타,2778
73,음식,커피전문점,904
74,음식,테마카페,142
75,음식,패밀리레스토랑,39
76,음식,패스트푸드,1116
77,음식,한식,7979
78,자연관광지,고개/재/령,10
79,자연관광지,공원,273
80,자연관광지,동굴,4
81,자연관광지,등대,19
82,자연관광지,명산,29
83,자연관광지,방파제,45
84,자연관광지,산림욕장,4
85,자연관광지,섬,8
86,자연관광지,약수터,1
87,자연관광지,자연휴양림,1
88,자연관광지,저수지,18
89,자연관광지,포구,3
90,자연관광지,폭포/계곡,8
91,자연관광지,항구,85
92,자연관광지,해수욕장,7
93,자연관광지,호수,3
94,휴양관광지,놀거리기타,16
95,휴양관광지,놀이시설,15
96,휴양관광지,동식물원,16
97,휴양관광지,수족관,10
98,휴양관광지,온천,19
99,휴양관광지,유원지,3
100,휴양관광지,종합위락시설,2
101,휴양관광지,테마파크,10
