,구군명,소분류 카테고리,집계
0,강서구,공연장,2
1,강서구,극장,2
2,강서구,놀거리기타,1
3,강서구,문화생활시설기타,13
4,강서구,문화원,2
5,강서구,문화유적지,5
6,강서구,박물관/기념관,1
7,강서구,전시장,3
8,강서구,절,23
9,강서구,화랑/전시관,2
10,금정구,고택/생가/민속마을,1
11,금정구,공연장,8
12,금정구,극장,3
13,금정구,동식물원,1
14,금정구,문화생활시설기타,34
15,금정구,문화원,1
16,금정구,문화유적지,5
17,금정구,미술관,1
18,금정구,박물관/기념관,3
19,금정구,성,1
20,금정구,수족관,1
21,금정구,온천,1
22,금정구,전시장,1
23,금정구,절,69
24,금정구,화랑/전시관,3
25,기장군,공연장,2
26,기장군,과학관,5
27,기장군,극장,6
28,기장군,놀거리기타,1
29,기장군,동식물원,7
30,기장군,문화생활시설기타,13
31,기장군,문화원,1
32,기장군,문화유적지,7
33,기장군,박물관/기념관,3
34,기장군,수족관,1
35,기장군,온천,4
36,기장군,유원지,1
37,기장군,전시장,2
38,기장군,절,87
39,기장군,종합위락시설,1
40,기장군,테마파크,5
41,기장군,화랑/전시관,7
42,남구,공연장,13
43,남구,극장,1
44,남구,기념비,1
45,남구,놀이시설,2
46,남구,동식물원,1
47,남구,문화생활시설기타,19
48,남구,문화유적지,1
49,남구,미술관,2
50,남구,박물관/기념관,9
51,남구,절,34
52,남구,종합위락시설,1
53,남구,화랑/전시관,1
54,동구,공연장,4
55,동구,과학관,1
56,동구,기념비,2
57,동구,놀거리기타,3
58,동구,문화생활시설기타,12
59,동구,문화원,2
60,동구,문화유적지,6
61,동구,미술관,1
62,동구,박물관/기념관,4
63,동구,전시장,3
64,동구,절,39
65,동구,탑,1
66,동구,화랑/전시관,2
67,동래구,공연장,2
68,동래구,극장,2
69,동래구,놀이시설,1
70,동래구,능묘,1
71,동래구,동식물원,1
72,동래구,문화생활시설기타,11
73,동래구,문화원,1
74,동래구,문화유적지,8
75,동래구,미술관,1
76,동래구,박물관/기념관,4
77,동래구,수족관,2
78,동래구,온천,3
79,동래구,전시장,1
80,동래구,절,55
81,동래구,탑,1
82,동래구,화랑/전시관,4
83,부산진구,고택/생가/민속마을,1
84,부산진구,공연장,5
85,부산진구,과학관,1
86,부산진구,극장,6
87,부산진구,기념비,1
88,부산진구,놀거리기타,2
89,부산진구,놀이시설,4
90,부산진구,동식물원,2
91,부산진구,문화생활시설기타,26
92,부산진구,문화원,1
93,부산진구,문화유적지,1
94,부산진구,미술관,3
95,부산진구,박물관/기념관,4
96,부산진구,수족관,2
97,부산진구,유원지,1
98,부산진구,전시장,1
99,부산진구,절,58
100,부산진구,테마파크,3
101,부산진구,화랑/전시관,5
102,북구,공연장,1
103,북구,극장,4
104,북구,놀이시설,1
105,북구,문화생활시설기타,17
106,북구,문화유적지,1
107,북구,박물관/기념관,1
108,북구,수족관,1
109,북구,절,39
110,사상구,극장,1
111,사상구,놀이시설,1
112,사상구,문화생활시설기타,11
113,사상구,문화원,2
114,사상구,박물관/기념관,1
115,사상구,온천,2
116,사상구,절,38
117,사하구,극장,1
118,사하구,놀이시설,1
119,사하구,동식물원,1
120,사하구,문화생활시설기타,27
121,사하구,문화원,1
122,사하구,문화유적지,2
123,사하구,미술관,1
124,사하구,박물관/기념관,1
125,사하구,유원지,1
126,사하구,절,31
127,사하구,테마파크,1
128,서구,고택/생가/민속마을,1
129,서구,동식물원,1
130,서구,문화생활시설기타,11
131,서구,문화원,1
132,서구,문화유적지,3
133,서구,미술관,2
134,서구,박물관/기념관,3
135,서구,전시장,1
136,서구,절,31
137,서구,화랑/전시관,1
138,수영구,공연장,8
139,수영구,놀이시설,2
140,수영구,문화생활시설기타,24
141,수영구,문화원,1
142,수영구,문화유적지,4
143,수영구,박물관/기념관,3
144,수영구,온천,1
145,수영구,전시장,1
146,수영구,절,18
147,수영구,화랑/전시관,15
148,연제구,공연장,1
149,연제구,극장,1
150,연제구,기념비,1
151,연제구,능묘,1
152,연제구,문화생활시설기타,14
153,연제구,문화원,2
154,연제구,문화유적지,2
155,연제구,박물관/기념관,1
156,연제구,수족관,1
157,연제구,절,28
158,연제구,화랑/전시관,3
159,영도구,공연장,1
160,영도구,문화생활시설기타,11
161,영도구,문화원,1
162,영도구,문화유적지,1
163,영도구,박물관/기념관,4
164,영도구,온천,1
165,영도구,전시장,1
166,영도구,절,38
167,영도구,탑,1
168,영도구,화랑/전시관,1
169,중구,공연장,3
170,중구,극장,9
171,중구,기념비,1
172,중구,놀거리기타,6
173,중구,놀이시설,1
174,중구,문화생활시설기타,10
175,중구,문화원,3
176,중구,미술관,3
177,중구,박물관/기념관,6
178,중구,수족관,1
179,중구,전시장,1
180,중구,절,10
181,중구,화랑/전시관,3
182,해운대구,공연장,3
183,해운대구,극장,8
184,해운대구,놀거리기타,3
185,해운대구,놀이시설,2
186,해운대구,동식물원,2
187,해운대구,문화생활시설기타,31
188,해운대구,문화원,3
189,해운대구,문화유적지,4
190,해운대구,미술관,7
191,해운대구,박물관/기념관,2
192,해운대구,수족관,1
193,해운대구,온천,7
194,해운대구,전시장,8
195,해운대구,절,54
196,해운대구,테마파크,1
197,해운대구,화랑/전시관,23
