,중분류 카테고리,구군명,counts
0,공연/행사,강서구,4
47,휴양관광지,강서구,1
15,문화시설,강서구,21
31,역사관광지,강서구,28
48,휴양관광지,금정구,3
1,공연/행사,금정구,11
32,역사관광지,금정구,76
16,문화시설,금정구,43
33,역사관광지,기장군,94
49,휴양관광지,기장군,20
2,공연/행사,기장군,8
17,문화시설,기장군,31
18,문화시설,남구,31
3,공연/행사,남구,14
50,휴양관광지,남구,4
34,역사관광지,남구,36
51,휴양관광지,동구,3
35,역사관광지,동구,48
19,문화시설,동구,25
4,공연/행사,동구,4
20,문화시설,동래구,22
36,역사관광지,동래구,65
5,공연/행사,동래구,4
52,휴양관광지,동래구,7
21,문화시설,부산진구,41
6,공연/행사,부산진구,11
37,역사관광지,부산진구,61
53,휴양관광지,부산진구,14
22,문화시설,북구,18
7,공연/행사,북구,5
38,역사관광지,북구,40
54,휴양관광지,북구,2
55,휴양관광지,사상구,3
39,역사관광지,사상구,38
23,문화시설,사상구,14
8,공연/행사,사상구,1
24,문화시설,사하구,30
56,휴양관광지,사하구,4
9,공연/행사,사하구,1
40,역사관광지,사하구,33
25,문화시설,서구,19
63,공연/행사,서구,0
57,휴양관광지,서구,1
41,역사관광지,서구,35
10,공연/행사,수영구,8
58,휴양관광지,수영구,3
26,문화시설,수영구,44
42,역사관광지,수영구,22
11,공연/행사,연제구,2
59,휴양관광지,연제구,1
27,문화시설,연제구,20
43,역사관광지,연제구,32
60,휴양관광지,영도구,1
44,역사관광지,영도구,40
12,공연/행사,영도구,1
28,문화시설,영도구,18
45,역사관광지,중구,11
61,휴양관광지,중구,8
29,문화시설,중구,26
13,공연/행사,중구,12
30,문화시설,해운대구,74
46,역사관광지,해운대구,58
14,공연/행사,해운대구,11
62,휴양관광지,해운대구,16
